000001.SS,IDX,PSEI.PS,^AXJO,^FTSE,^HSI,^IXIC,^KLSE,^MXX,^N225,^NSEI,^SET.BK,^STI
-1.427644304106237,-5.013870115640604,-2.7824011440544796,-3.25922006903689,-3.7081122868358,-4.046009487242436,-2.4839385352051995,-3.651844327778515,-4.097926561380573,-1.8736675218546965,-3.146525319160556,-3.1985004632168605,-5.01387073505481
-1.1254068639617079,-4.7061038066482945,-2.7466598092277525,-3.383426646433598,-3.459105083102306,-3.8866055060681797,-2.424192955900476,-3.6645411910974786,-3.892383694579781,-1.8481830307071099,-3.1168077261897302,-3.1641669155073706,-4.937133572344815
-1.072475738045591,-4.925033619982524,-2.6946697251102565,-3.33118831429092,-3.6744442589662865,-3.9504370433667217,-2.5238456973424324,-3.648341565231184,-4.020575269129869,-1.789689401748724,-3.206876626278673,-3.1695392363165595,-5.062119718037851
-1.1372342943483187,-4.925033619982524,-2.7002278156846873,-3.433164588734244,-3.672934969876038,-4.107287631032957,-2.534651504586173,-3.7260137848863133,-4.112236951839768,-1.8974223793099563,-3.1494719647074274,-3.152381498543486,-5.089240975278791
-1.2764014993887254,-4.5833599437932415,-2.7552262120093416,-3.221287186786258,-3.33926316738141,-4.063593197100241,-2.29707750500826,-3.868326911802196,-3.614337531638713,-1.8868477257740264,-3.1530112172322693,-3.184416949291677,-5.186296550710414
-1.2884259198066241,-4.7113018179756985,-2.7877900356664416,-2.970862781513837,-3.2650437606387617,-3.7842981457231533,-2.287851443291486,-3.831695607364272,-3.4678278653840815,-1.734996151952141,-3.0220279550152163,-3.114977838574744,-4.778810736276144
-1.0787840840689191,-4.67334125920013,-2.9259665518739455,-2.735044038043294,-3.0840702124738235,-3.6031137751283633,-2.236202567067368,-3.8431103200827708,-3.496155125409856,-1.5870584877826908,-2.9741386184658283,-3.1324171766587323,-4.866622567615207
-1.066406072518915,-4.6069304827527375,-2.909954694400519,-2.747237950041442,-3.174642418631149,-3.482955353062268,-2.188078133581118,-3.79923063335478,-3.4217580094961244,-1.5783140485524494,-2.928074843271898,-3.105067977051112,-4.786274447356914
-0.9710554526205277,-4.6340409419373465,-2.8954474062521136,-2.6737205483745345,-3.153846503029893,-3.4761115456866,-2.2007815277878446,-3.769009476188974,-3.4277525767105126,-1.5882635585396252,-2.912815887412184,-3.0944217645527288,-4.74423715994152
-0.8385821089767235,-4.161830668865907,-2.7560225922273864,-2.5239422554905975,-2.920845651165393,-3.320529621901785,-2.0846325201967373,-3.585218176929135,-3.243600266268628,-1.4874641674232314,-2.7541970565216323,-3.022236829897221,-4.380956205711076
-0.8103273621523426,-4.078226622883138,-2.7035496609840504,-2.461374220696696,-2.9907963438820087,-3.0994444899189504,-2.1470092534016554,-3.587852661886474,-3.2686859403851662,-1.3887804793987657,-2.755598506491275,-3.022305146716167,-4.19417555489714
-0.9134115249869674,-4.176946481070151,-2.674312697099068,-2.40015522336755,-3.0098932426185976,-3.236218053968947,-2.127082415918403,-3.5816841894365514,-3.261385231533865,-1.3917396328918874,-2.7026817410095387,-3.030780195447207,-4.258440134616978
-0.7598772200391752,-4.142263892936265,-2.610290539139622,-2.322936253864319,-2.967510939758347,-3.0068232700705093,-2.036115406648271,-3.535722869930897,-3.196631490645641,-1.3365448135074853,-2.5918759362068573,-3.013854048465324,-3.968687634794743
-0.7324965215942926,-4.128774940722064,-2.543679131712037,-2.270190156234028,-3.0122844704739795,-3.0019546974670885,-2.1012744415801197,-3.5359977307158985,-3.251139940998126,-1.3398212017624211,-2.5625980924763416,-3.0042731611297517,-4.024497450246367
-0.7677831274030352,-4.342422787917456,-2.5654501378639587,-2.410358816402972,-3.2487409739949142,-3.3162028374475883,-2.1708196509227955,-3.647640998060716,-3.4443859828571712,-1.4799162614805739,-2.7098211958796594,-3.0813061655666267,-4.340516239569001
-0.7351243630536687,-4.242615229602891,-2.612939744560888,-2.456969674297455,-2.965983833863644,-3.2583575919467376,-2.1276572390601434,-3.625203989163174,-3.4201913402208994,-1.5267002962396374,-2.660837284560257,-3.0681093017994323,-4.22194386102853
-0.6609921611594226,-4.118315144006566,-2.6376655030500906,-2.462003725699677,-2.9161296432611565,-3.2855899990867754,-2.091184453582685,-3.5445981173527046,-3.3572314593814667,-1.4377212016434269,-2.61635414831969,-3.0778972439886023,-4.212005220579886
