AAPL,ABBV,AMZN,AVGO,BAC,BRK-B,COST,CVX,DIS,GOOG,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NVDA,PFE,PG,TSLA,UNH,V,XOM
-1.2281926419997515,-1.9865270145921603,-1.081728858685296,-1.293532070466595,-1.4702569771973923,-2.0215366808933775,-1.632140748240994,-0.26637355565625037,-2.1112749907082256,-1.794107143278627,-1.7951724476346647,-1.5242145071124498,-1.9993192975619145,-1.4073154880568959,-1.9211607709085947,-1.7418445303606862,-1.4771503970876934,-1.6349362177844904,-0.7352979405060097,-2.038870336640177,-2.155298296906669,-2.387200151262776,-1.4176194304250256,-1.5932648850461624,-0.5657380806341294
-1.1857812278604158,-1.8827315092445005,-1.0904407798886322,-1.2938146538876834,-1.4525088376803539,-1.9938728451528047,-1.6332402399994732,-0.3403598635275334,-2.048808948553059,-1.6732330965790678,-1.6783522300930558,-1.5025595446981872,-1.9912467826171907,-1.4266056937836469,-1.9211607709085947,-1.7520446418491247,-1.474880063587419,-1.6047336237120298,-0.7348826147067828,-2.0465459417408973,-2.06924298839904,-2.3762140525082582,-1.4201346041929952,-1.5932648850461624,-0.6015472296178876
-1.4772897675341978,-1.9083040484797718,-1.0680325339669203,-1.3007398269104462,-1.4246191870645923,-1.9535906775150917,-1.6050190454817685,-0.30007650514588985,-2.048808948553059,-1.6334630815033948,-1.639916004953586,-1.475415333408167,-1.978633383869356,-1.4178933214476899,-1.9261252354860203,-1.730253349905836,-1.4683213277104663,-1.6034197958006124,-0.7336365086920804,-1.9953776724435945,-2.100639678602707,-2.362786636201261,-1.4130456034604886,-1.586268613434289,-0.4957463594476377
-1.526035376089236,-1.8977744279789264,-1.023928088355859,-1.2974892218715657,-1.401799867631672,-1.949707942956919,-1.6244432866253113,-0.24253557270064796,-2.026792012166309,-1.6351526439950264,-1.6415490143989753,-1.4610797552332146,-1.9372628117736188,-1.3687332262535297,-1.9410070450385728,-1.7434205759272081,-1.4567173955852248,-1.5870056552773364,-0.729067731975052,-1.9570011057644927,-1.771536823198268,-2.3629223538804616,-1.4171617941623804,-1.5824281993209315,-0.43389222597419524
-1.4803650916300917,-1.9511762612195724,-1.0572263356423706,-1.29296658749629,-1.4372958637547357,-1.9628117092433177,-1.6196790488510848,-0.2556860380107128,-2.027815985768121,-1.64435190560561,-1.65043986921146,-1.4684001520355618,-1.9523978358279412,-1.401092453071682,-1.9509327563657228,-1.7679947546964387,-1.4332573148254286,-1.585035443484872,-0.7249143882381021,-1.9979364506145842,-1.7110662378175698,-2.348681165055971,-1.422421872667932,-1.6303005847426102,-0.5348124250397862
-1.4416260248080046,-1.9195857092640252,-1.1229432577910352,-1.2916947337866325,-1.4347606981633152,-1.956987977684006,-1.5877910697049782,-0.15950684940682838,-2.04676078649975,-1.6351214933605187,-1.6415188204346358,-1.4799900932095982,-1.9125398874350703,-1.3712231803875607,-1.8492243019514414,-1.747779133873113,-1.4756368093444723,-1.5784702416252716,-0.7305214472989422,-1.7779136220484322,-1.5680271726804502,-2.349766130405633,-1.411673506084366,-1.6260474660688493,-0.42900496953843903
-1.4482352539917909,-1.9481678887793137,-1.0709645219366195,-1.2849109754131303,-1.4626503487790767,-1.974459912917836,-1.6182132863522962,-0.22198120625308362,-2.057000952217238,-1.634652077260518,-1.6410652195047097,-1.4787693761424927,-1.9286846662666421,-1.370601154441519,-1.829378027821463,-1.7592780132511878,-1.464285189957658,-1.5889755641699943,-0.7309368802790205,-1.7650066722948219,-1.5587248619041687,-2.3555983042125312,-1.4162470287694728,-1.6486821726673369,-0.6064288414841319
-1.4543864713191563,-1.966219391260625,-1.101372722717809,-1.2747352324768346,-1.4778636056157082,-1.972033111249491,-1.6251768474122572,-0.32885167703848506,-2.0523928561593996,-1.6288321802534629,-1.635440383583004,-1.4885299052122891,-1.9372628117736188,-1.3755792123597173,-1.8938768098300416,-1.7481500231897298,-1.4708439258346109,-1.615238643356946,-0.7321828362405309,-1.8243662411531893,-1.5494231369526101,-2.3557337793655004,-1.4361434549880197,-1.6089013046551077,-0.7203701216521871
-1.4629688935519782,-1.9293632894814625,-1.103466919950519,-1.267810199955462,-1.3789796994657113,-1.9201027399372597,-1.558837333706655,-0.21787221523156047,-2.0160398596479157,-1.566533307441199,-1.5752310833188037,-1.4769396747345276,-1.9241432803477794,-1.3257980163944474,-1.8194587521497156,-1.746713458966408,-1.5023762821000233,-1.5837229786225846,-0.7298984907543573,-1.7340409340698981,-1.4610397609958379,-2.345019115969383,-1.4233368409137928,-1.599985721709964,-0.7089756173307473
-1.5148356416169415,-1.9218422527275023,-1.124493014871883,-1.2830736387331678,-1.4372958637547357,-1.992416912262977,-1.620045319591394,-0.32474174488296703,-2.051368882557588,-1.618412532630983,-1.6253703507433337,-1.5056092399139458,-1.9276756646630206,-1.3363755413935974,-1.8665909180548677,-1.7675310026332083,-1.5432421888758459,-1.6158953301377996,-0.734259593853687,-1.8527564247253865,-1.5389521058539732,-2.352614358469482,-1.4237939700440547,-1.6261845117503289,-0.8538425530931457
