AAPL,ABBV,AMZN,AVGO,BAC,BRK-B,COST,CVX,DIS,GOOG,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NVDA,PFE,PG,TSLA,UNH,V,XOM
-1.389800323638544,-1.456804372004004,-0.9548725796926075,-1.4172571650979016,-1.2591567807603508,-1.674182493719449,-1.4219046449920223,-0.5580971300861963,-2.246942113863249,-1.5098795724892642,-1.5396842396783688,-1.404465195559601,-1.882380404139563,-1.2531576459612843,-1.8356812016717177,-1.261030435403732,-1.525883687325401,-1.2861478902574295,-0.8334764534344017,-1.5764621414433964,-1.8280280127552933,-2.472840314063321,-1.2902818216422902,-1.3439614456367326,-0.49118461764952226
-1.3605925745329601,-1.4850765193094604,-0.9712323454673548,-1.4135638411528066,-1.2798734890118593,-1.6825850221391256,-1.4189505380209584,-0.5679942767801353,-2.2479584894813094,-1.5160386427079335,-1.5458129964633547,-1.409443126230293,-1.8942087811034005,-1.2723692944552367,-1.8431760700812514,-1.2722732589331516,-1.5070323610031564,-1.2851120483122997,-0.8312804485267054,-1.6009088156858504,-1.7740818481909069,-2.459678689214299,-1.2934571377942101,-1.3712748423247307,-0.5959613437468183
-1.3358179324365944,-1.4683518117099266,-1.0035197341860087,-1.4125251413048239,-1.2783947974472116,-1.678850670589642,-1.399177131043257,-0.49560385977562005,-2.266754403936529,-1.5098587165821915,-1.5396634259919781,-1.4173254974094964,-1.863058929705883,-1.2546363524014765,-1.7663235182319987,-1.2630243286057026,-1.541086364854642,-1.2816590028799884,-0.8342450670525953,-1.4695154011287033,-1.6464748123992552,-2.460681407953755,-1.2869684322933825,-1.3688489637829022,-0.48611543771361077
-1.3400447531945316,-1.4834840043246824,-0.9779820553848134,-1.4069847107505542,-1.2946727890097984,-1.69005420010477,-1.4180414037523512,-0.5426273486197684,-2.276914323128643,-1.5095444341056117,-1.5393507440468115,-1.4164954324133638,-1.8756756820038174,-1.2542657602970995,-1.7513269732012953,-1.2682851299064422,-1.5319647815345423,-1.2871838118520744,-0.8344646936111265,-1.4618084893924859,-1.6381756436744317,-2.4660714694610273,-1.289729651313938,-1.38176219621681,-0.670321036787437
-1.3439779322529175,-1.4930408842045313,-0.9929219120725035,-1.3986745382420112,-1.3035517085098172,-1.6884980620035928,-1.422359528163731,-0.6230625620029742,-2.2723427645076435,-1.5056479089442185,-1.5354733608202653,-1.4231329028428563,-1.882380404139563,-1.2572218914854232,-1.8000655014006666,-1.2631940981875527,-1.5372350477175014,-1.3009961528803502,-0.8351234712824357,-1.4972551434051709,-1.6298759523319304,-2.4661966748186495,-1.3017409173154748,-1.359065596342894,-0.7886155760471636
-1.3494675852099174,-1.4735286321107428,-0.9939508123602113,-1.3930189611443462,-1.2458373281998623,-1.655198748565112,-1.3812217819111665,-0.5395311255880473,-2.2362742200281316,-1.4639376990994148,-1.4939691224431724,-1.4152508267803856,-1.8721279930003814,-1.2276655232715632,-1.743831132190099,-1.262536348127499,-1.56257284359957,-1.2844215666650616,-0.8339157065514642,-1.4433141662988147,-1.5510322815930735,-2.4562942444990177,-1.2940094305821606,-1.3539792622853708,-0.7767865128094327
-1.382637631856644,-1.4695472887121983,-1.0042811455189318,-1.4054843346520969,-1.2798734890118593,-1.7015687672934625,-1.419177874261011,-0.6199698807500584,-2.2713259625575284,-1.4986717684584636,-1.528531758084328,-1.4347484023152852,-1.8748876990914896,-1.233947096060527,-1.7794453735586566,-1.2720608328166088,-1.5954106054117823,-1.3013413538792116,-0.8362215020708074,-1.5142096522792339,-1.6205378196634703,-2.463313723957905,-1.2942855157463367,-1.3689272838727604,-0.9271936720947657
-1.3370796726925536,-1.472731983062158,-0.9900615268826432,-1.4028295384375806,-1.2206794263891396,-1.6579995122272249,-1.4003127587855033,-0.5822258523761793,-2.2515145251483575,-1.4845937103242999,-1.5145231938448032,-1.4341259027543078,-1.8532012948664034,-1.192937161395481,-1.6313628800697952,-1.2583363069183995,-1.5846674047017266,-1.299269271741376,-0.8331470589318424,-1.4618084893924859,-1.5738555182040161,-2.4584251114769002,-1.2663975465256017,-1.3463874519437975,-0.8274880793745895
-1.3385182167360021,-1.475121594588316,-0.999671582739932,-1.4001750290854047,-1.2132801892018854,-1.660489238215773,-1.4307364156227234,-0.5760390731588257,-2.239830468861207,-1.4753131525370689,-1.5052884312945427,-1.428318005459727,-1.8244167656820613,-1.1995869460035662,-1.5994946140035111,-1.2522697425215632,-1.5763566107454008,-1.3047944789610382,-0.8342450670525953,-1.4910919662076498,-1.5271695584208165,-2.4453889161268503,-1.2717816664505286,-1.3362915707357736,-0.8190355392656535
-1.2986002346961436,-1.5037925698474595,-1.0037666561250478,-1.4080235540297072,-1.2265991463883152,-1.6828962972460288,-1.4273173122829883,-0.6311052333143814,-2.2479584894813094,-1.467394325051629,-1.497408623840004,-1.435785934374329,-1.8374286867014669,-1.2136264177364304,-1.4870292796881943,-1.260754709730687,-1.584464697695181,-1.306866322150328,-0.8347941107813046,-1.5465740643066437,-1.5271695584208165,-2.441503022385301,-1.2763376533425252,-1.3657182044323484,-0.984003649318726
