Date,AAPL,ABBV,AMZN,AVGO,BAC,BRK-B,COST,CVX,DIS,GOOG,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NVDA,PFE,PG,TSLA,UNH,V,XOM
2013-02-15,-1.6131341625918771,-1.9149786530336914,-1.3463062796777463,-1.861837768074964,-1.4572390594342612,-1.8733505080935355,-1.6888644309035836,-0.5204983750834662,-2.4338017767877997,-1.7419926663990932,-1.7737507512355641,-1.7178069836747882,-2.103718594000623,-1.4277674061834897,-1.925116215416668,-1.7182095185082737,-2.102077895123733,-1.755268396597879,-1.2451301847854959,-1.7173607389373682,-1.571340257381758,-3.4713117504405053,-1.6987412334695524,-1.7624215052078833,-0.9548168402563226
2013-02-19,-1.6141110533798593,-1.865715019740013,-1.3183620275151842,-1.8455411147952148,-1.4156123225608594,-1.8140727691147398,-1.698982411794333,-0.45786943813052927,-2.4242534163607012,-1.6884382368391104,-1.720357982031508,-1.7165976041826974,-2.0544563565797405,-1.3913004773096382,-1.8663594145018667,-1.7195227133062942,-2.064464655062489,-1.7326546561441631,-1.2574637274286238,-1.6268284274353635,-1.4680423151312811,-3.3549374802280565,-1.7221801065863525,-1.7687813808882693,-0.7836493696478042
2013-02-20,-1.678973533362885,-1.8322511546547762,-1.3383411786895365,-1.881225502665917,-1.5180586957665048,-1.8519251810174868,-1.7298749828037858,-0.5185317355143964,-2.5149959480793234,-1.7436571749564462,-1.7754103400123953,-1.7616957495690941,-2.073484115216248,-1.4451900998574936,-1.8523140607970063,-1.7683986524081983,-2.093374250004226,-1.7477063453057908,-1.2707063977667368,-1.6568522921911184,-1.5048021369768587,-3.3926320275567985,-1.7746459478090955,-1.8057402876280937,-0.845843091876317
2013-02-21,-1.695471089566845,-1.8188102280103373,-1.3411727579923298,-1.9233648682628264,-1.6211882049915338,-1.8543011378587595,-1.744655049186193,-0.5185317355143964,-2.5500196470756467,-1.7317929488579311,-1.763581993878774,-1.8474256350313967,-2.059970914933394,-1.4685721464117836,-1.856991540588739,-1.735482423771575,-2.168113524223961,-1.7798024582455798,-1.2774003444965594,-1.6913524429008602,-1.5097144173336448,-3.574549342326717,-1.7735464326247832,-1.7716311655268306,-0.9136381278866874
2013-02-22,-1.6674458865009671,-1.844161056914419,-1.3443113499176507,-1.9055158547948023,-1.6156750737887244,-1.805126709082035,-1.7268493543016894,-0.4552705533154338,-2.543482520633377,-1.7157123684043492,-1.7475499556322744,-1.797157457821681,-2.0605904856800428,-1.425838238668835,-1.6694608096491597,-1.7148077153948191,-2.17784519893445,-1.756951708323376,-1.2603903280620452,-1.6978441324800764,-1.5158626901848775,-3.5217097257003975,-1.801955192148351,-1.7384569698083412,-0.8049391981452435
2013-02-25,-1.714878136446649,-1.9321254108335413,-1.3781981140362303,-1.9544876475432582,-1.730663133142212,-1.9304768150232388,-1.767507939150087,-0.6140977649251234,-2.5977044540598255,-1.7502077667553526,-1.7819412419590026,-1.8669428061376725,-2.102824768977973,-1.5046328249789909,-1.8546534011341707,-1.7783875521415122,-2.1687606440598666,-1.7900298731161102,-1.276654173179576,-1.8159213034369739,-1.6483119480459318,-3.619012391250402,-1.845900366483558,-1.7977632656777933,-1.0735785488573653
2013-02-26,-1.6782671440294268,-1.9551345624776066,-1.3813481767868057,-1.9466436557481475,-1.7022281205213885,-1.9237203863720576,-1.7920338414631927,-0.5204983750834662,-2.5721538148193925,-1.7526923834795811,-1.7844181639114098,-1.7161953613667793,-2.091605703790787,-1.5112340204946766,-1.7638887900928317,-1.7843692611885797,-2.16101106731802,-1.7900298731161102,-1.2658368267159437,-1.77410577584394,-1.6283893875840894,-3.6161324955818177,-1.8554152343939798,-1.7650975817666978,-0.9279454894835025
2013-02-27,-1.7043232677668507,-1.9849751886972726,-1.3574755796387312,-1.9225101015099881,-1.6516369973581937,-1.805126709082035,-1.7431373046602487,-0.4105910226979992,-2.5247421401698418,-1.715443817847062,-1.7472820224248968,-1.6961244954215244,-2.056263127962449,-1.4021324604727954,-1.685509842422124,-1.7571157826640436,-2.1948413143595413,-1.752744160735919,-1.2489357378628516,-1.6913524429008602,-1.5454055292962905,-3.5779345416469113,-1.8243723445901108,-1.7311765476867726,-0.7464522484395866
2013-02-28,-1.7232557657283274,-1.969190496523568,-1.351274339247116,-1.9000354044963743,-1.6712147330109108,-1.7606471950008948,-1.7219396846420607,-0.378378289641198,-2.5158066028638544,-1.7100008948305898,-1.7418552336411504,-1.6785847523180788,-2.069253159999864,-1.4251944897087356,-1.6237634930542877,-1.7441626610035468,-2.170055595955718,-1.7535853340349798,-1.2445777205633086,-1.7000112421400142,-1.6159567823404761,-3.593239086767331,-1.8402130790989373,-1.751576332851926,-0.7429126689296505
2013-03-01,-1.7895943856735779,-1.8963115963722152,-1.3423792084220252,-1.9220826428879743,-1.640503656884099,-1.765776236217017,-1.7170359627873755,-0.39446743284471436,-2.4561615395606076,-1.69094938979272,-1.7228612952594424,-1.6576054328104521,-2.0328492665990354,-1.425838238668835,-1.6283237140318405,-1.7418056992920874,-2.1360570867557267,-1.741004569344043,-1.240961207088559,-1.6956827081668093,-1.5775224766363614,-3.603508306552161,-1.8375637444971709,-1.7609163990896153,-0.7641528650560779
